No,Photocatalyst,Initial_Concentration,Catalyst_Dosage,pH,Light_Intensity,Illumination_Time,Degradation_Rate
1,FeTiO3/GO,50,0.75,8,150,150,85
2,FeTiO3/GO,50,0.75,2,150,0,0
3,FeTiO3/GO,50,0.75,2,150,20,8
4,FeTiO3/GO,50,0.75,2,150,30,12
5,FeTiO3/GO,50,0.75,2,150,60,20
6,FeTiO3/GO,50,0.75,2,150,90,28
7,FeTiO3/GO,50,0.75,2,150,120,35
8,FeTiO3/GO,50,0.75,2,150,150,38
9,FeTiO3/GO,50,0.75,4,150,0,0
10,FeTiO3/GO,50,0.75,4,150,20,10
11,FeTiO3/GO,50,0.75,4,150,30,14
12,FeTiO3/GO,50,0.75,4,150,60,25
13,FeTiO3/GO,50,0.75,4,150,90,36
14,FeTiO3/GO,50,0.75,4,150,120,42
15,FeTiO3/GO,50,0.75,4,150,150,50
16,FeTiO3/GO,50,0.75,6,150,0,0
17,FeTiO3/GO,50,0.75,6,150,20,10
18,FeTiO3/GO,50,0.75,6,150,30,20
19,FeTiO3/GO,50,0.75,6,150,60,34
20,FeTiO3/GO,50,0.75,6,150,90,50
21,FeTiO3/GO,50,0.75,6,150,120,70
22,FeTiO3/GO,50,0.75,6,150,150,84
23,FeTiO3/GO,50,0.75,8,150,0,0
24,FeTiO3/GO,50,0.75,8,150,20,18
25,FeTiO3/GO,50,0.75,8,150,30,35
26,FeTiO3/GO,50,0.75,8,150,60,54
27,FeTiO3/GO,50,0.75,8,150,90,70
28,FeTiO3/GO,50,0.75,8,150,120,86
29,FeTiO3/GO,50,0.75,8,150,150,99
30,FeTiO3/GO,50,0.75,10,150,0,0
31,FeTiO3/GO,50,0.75,10,150,20,18
32,FeTiO3/GO,50,0.75,10,150,30,24
33,FeTiO3/GO,50,0.75,10,150,60,38
34,FeTiO3/GO,50,0.75,10,150,90,48
35,FeTiO3/GO,50,0.75,10,150,120,62
36,FeTiO3/GO,50,0.75,10,150,150,76
37,FeTiO3/GO,50,0,8,150,0,0
38,FeTiO3/GO,50,0,8,150,20,1
39,FeTiO3/GO,50,0,8,150,30,2
40,FeTiO3/GO,50,0,8,150,60,2
41,FeTiO3/GO,50,0,8,150,90,3
42,FeTiO3/GO,50,0,8,150,120,3
43,FeTiO3/GO,50,0,8,150,150,4
44,FeTiO3/GO,50,0.25,8,150,0,0
45,FeTiO3/GO,50,0.25,8,150,20,3
46,FeTiO3/GO,50,0.25,8,150,30,5
47,FeTiO3/GO,50,0.25,8,150,60,10
48,FeTiO3/GO,50,0.25,8,150,90,16
49,FeTiO3/GO,50,0.25,8,150,120,22
50,FeTiO3/GO,50,0.25,8,150,150,24
51,FeTiO3/GO,50,0.5,8,150,0,0
52,FeTiO3/GO,50,0.5,8,150,20,10
53,FeTiO3/GO,50,0.5,8,150,30,16
54,FeTiO3/GO,50,0.5,8,150,60,32
55,FeTiO3/GO,50,0.5,8,150,90,48
56,FeTiO3/GO,50,0.5,8,150,120,60
57,FeTiO3/GO,50,0.5,8,150,150,65
58,FeTiO3/GO,50,1,8,150,0,0
59,FeTiO3/GO,50,1,8,150,20,16
60,FeTiO3/GO,50,1,8,150,30,28
61,FeTiO3/GO,50,1,8,150,60,42
62,FeTiO3/GO,50,1,8,150,90,58
63,FeTiO3/GO,50,1,8,150,120,74
64,FeTiO3/GO,50,1,8,150,150,86
65,FeTiO3/GO,50,1.25,8,150,0,0
66,FeTiO3/GO,50,1.25,8,150,20,10
67,FeTiO3/GO,50,1.25,8,150,30,16
68,FeTiO3/GO,50,1.25,8,150,60,24
69,FeTiO3/GO,50,1.25,8,150,90,40
70,FeTiO3/GO,50,1.25,8,150,120,62
71,FeTiO3/GO,50,1.25,8,150,150,78
72,FeTiO3/GO,10,0.75,8,150,0,10
73,FeTiO3/GO,10,0.75,8,150,20,30
74,FeTiO3/GO,10,0.75,8,150,30,46
75,FeTiO3/GO,10,0.75,8,150,60,70
76,FeTiO3/GO,10,0.75,8,150,90,100
77,FeTiO3/GO,10,0.75,8,150,120,100
78,FeTiO3/GO,10,0.75,8,150,150,100
79,FeTiO3/GO,25,0.75,8,150,0,6
80,FeTiO3/GO,25,0.75,8,150,20,24
81,FeTiO3/GO,25,0.75,8,150,30,36
82,FeTiO3/GO,25,0.75,8,150,60,60
83,FeTiO3/GO,25,0.75,8,150,90,80
